adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/ncR3qobdIDYEAI1DqKmJQbHE8YA.jpg,"[53, 18, 27]",931,en,Don't Look Now,"While grieving a terrible loss, a married couple meet two mysterious sisters, one of whom gives them a message sent from the afterlife.",21.676,/ivWsU3QtcstImCTOjItsH0SAbNn.jpg,1973-01-18,Don't Look Now,False,6.922,958
False,/hrfUjHq16cbxwRrxfO9WbjXK6ZL.jpg,"[18, 35, 9648, 10749]",1161408,el,Νεαρή Γυναίκα,"Fan-made parody project about the role of Young Woman, a very small role from the play ""People Places and Things"" by Duncan McMillan. This parody shows the past of the anonymous ""Young Woman"", and her actions that overlap with the events from the original play, while also revealing the relations she has with specific people in the rehabilitation centre that Emma stays in.",23.137,/tAOY9EOc7JAQ5NLDZKKfCTh0A71.jpg,2024-03-25,Young Woman,False,0.0,0
False,/46Br5afTklXva5gRI6wXcAApaGP.jpg,"[16, 28, 12, 878]",911916,en,Spider-Man: Beyond the Spider-Verse,"Taking place right after the events of Spider-Man: Across the Spider-Verse, Gwen Stacy leads the newly reformed Spider-Gang in a race against the Spider-Society, led by Miguel O'Hara, to find Miles Morales, who is trapped in the home dimension of the spider that bit him, along with an alternate version of himself as the Prowler, while the Spot begins his deadly attack in his dimension with far-reaching multiversal consequences.",17.426,/5cAuJOfd5tuuFBz2yQmBCtVBaj0.jpg,,Spider-Man: Beyond the Spider-Verse,False,0.0,0
False,/6yoLAbC4wnriSswgz6RCShOYKNg.jpg,"[53, 80]",505579,en,Bent,"On his latest private investigation, a shamed former cop connects a murder case to a government conspiracy involving rogue agents from a top spy agency.",19.433,/xUqimeu4KzFeqTvblNLvG8Y1DAo.jpg,2018-03-09,Bent,False,5.274,170
False,/wYuuvNzIcQPKGoK03JgPZ2IkB0A.jpg,"[18, 10749, 10770]",13949,en,Persuasion,"Royal Navy captain Wentworth was haughtily turned down eight years ago as suitor of pompous baronet Sir Walter Elliot's daughter Anne, despite true love. Now he visits their former seaside country estate, rented by his brother-in-law, admiral Croft, so the financially stressed baronet can afford a fashionable, cheaper residence in trendy Bath. First the former lovers meet again on the estate, where they feel vibes again, but neither dares admit them until it seems too late.",16.928,/p0SAkCFD02wj2gekOvFilMjzs3j.jpg,2007-04-01,Persuasion,False,7.3,262
False,/dl6Fkb4VGrE287Ry4KKugKhyM7R.jpg,"[28, 53, 12, 80]",4824,en,The Jackal,"Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, a psychopathic hitman known only as The Jackal proves an elusive target for the people charged with the task of bringing him down: a deputy FBI director, a Russian MVK Major,  and a jailed IRA terrorist who can recognize him.",22.176,/oXF26QmDEaRaH9Fbhs3NXtcnryx.jpg,1997-11-14,The Jackal,False,6.363,1761
False,/dbguMp8TVf47Fj4otwWryRDx8AH.jpg,"[35, 10749]",10653,en,The Seven Year Itch,"With his family away for their annual summer holiday, a publishing executive decides to live a bachelor's life. The beautiful but ditzy blonde from the apartment above catches his eye and they soon start spending time together—maybe a little too much time!",21.176,/4oLqx0QbjWFzWtkxRmDLGH47CUJ.jpg,1955-06-03,The Seven Year Itch,False,7.077,839
False,/1F8sr6mtjssskEwhaFZrZiMv2qb.jpg,"[28, 80, 53]",10498,en,Point of No Return,"Hardened criminal Maggie Hayward's consistent violence, even in police custody, ends in the execution chamber. However, top-secret US government agent 'Bob' arranges a staged death, so Maggie can be elaborately trained as a phantom killer and subdued into obedience.",31.958,/gYvWcAxcIlSr752pIVj6MtmTjxp.jpg,1993-03-19,Point of No Return,False,6.221,659
False,/ldNuRioAQA7XI02r4hF4tUI6pso.jpg,[35],82679,en,Fun Size,"Wren is invited to a Halloween party by her crush, Aaron Riley, but she is also forced by her mother to take her oddball little brother Albert with her when she goes out trick-or-treating on Halloween. When she goes to the party instead, she loses him and must find him before her mother finds out.",16.177,/h9DYic4zo3Oweb11009FmqZBxN4.jpg,2012-10-24,Fun Size,False,5.606,415
False,/kYRMXDkV9cZO7xeuSzMvsyky8EK.jpg,"[14, 35, 18]",2657,en,Pleasantville,"Geeky teenager David and his popular twin sister, Jennifer, get sucked into the black-and-white world of a 1950s TV sitcom called ""Pleasantville,"" and find a world where everything is peachy keen all the time. But when Jennifer's modern attitude disrupts Pleasantville's peaceful but boring routine, she literally brings color into its life.",24.425,/m1hhYP6OScjKU5Z9iZaWirSn4I6.jpg,1998-09-17,Pleasantville,False,7.246,1582
False,/ldNuRioAQA7XI02r4hF4tUI6pso.jpg,[35],82679,en,Fun Size,"Wren is invited to a Halloween party by her crush, Aaron Riley, but she is also forced by her mother to take her oddball little brother Albert with her when she goes out trick-or-treating on Halloween. When she goes to the party instead, she loses him and must find him before her mother finds out.",16.177,/h9DYic4zo3Oweb11009FmqZBxN4.jpg,2012-10-24,Fun Size,False,5.606,415
False,/tweDJNQzBGgsWVF5MC8JhSAk07p.jpg,"[53, 878, 27]",570670,en,The Invisible Man,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",26.356,/5EufsDwXdY2CVttYOk2WtYhgKpa.jpg,2020-02-26,The Invisible Man,False,7.118,5477
False,/eILhGWWM3auIy6rY3IJXvVL3UVi.jpg,"[35, 10751]",11007,en,Cheaper by the Dozen,"The Baker brood moves to Chicago after patriarch Tom gets a job coaching football at Northwestern University, forcing his writer wife, Mary, and the couple's 12 children to make a major adjustment. The transition works well until work demands pull the parents away from home, leaving the kids bored -- and increasingly mischievous.",31.844,/afclGGoQslTYFTnyW1LRMtJMiBp.jpg,2003-12-24,Cheaper by the Dozen,False,6.287,2665
False,/7Kfuj85Bbi6EJqfhg2wKUh2fEkN.jpg,"[10749, 35]",11003,en,The Wedding Singer,"Robbie, a local rock star turned wedding singer, is dumped on the day of his wedding. Meanwhile, waitress Julia finally sets a wedding date with her fiancée Glenn. When Julia and Robbie meet and hit it off, they find that things are more complicated than anybody thought.",23.844,/zVvyTrcZQb7kC2DPDzyo25WcxXp.jpg,1998-02-13,The Wedding Singer,False,6.771,1652
False,/qGtuuNro6M8Q3VFvmGJwFkg9bns.jpg,"[28, 80]",119283,en,Parker,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",23.845,/u1cl4RsdqMjolVVsHwiLRPN1CT2.jpg,2013-01-23,Parker,False,6.031,2913
False,/xnuy6CYEoBmXKhTjKDSbzLe1dB5.jpg,"[53, 18, 12, 28, 36]",205775,en,In the Heart of the Sea,"In the winter of 1820, the New England whaling ship Essex is assaulted by something no one could believe—a whale of mammoth size and will, and an almost human sense of vengeance.",36.597,/weVvNPfk6FM9vBg3BXtRtNAmiYM.jpg,2015-12-03,In the Heart of the Sea,False,6.754,3951
False,/b5IB4VGjR818tTNcCLHQCIFwQmW.jpg,"[28, 53]",10431,en,War,"FBI agent Jack Crawford is out for revenge when his partner is killed and all clues point to the mysterious assassin Rogue. But when Rogue turns up years later to take care of some unfinished business, he triggers a violent clash of rival gangs. Will the truth come out before it's too late? And when the dust settles, who will remain standing?",32.094,/scFc8RD4sFxB2x0eIOaymphMnYh.jpg,2007-08-24,War,False,6.291,1655
False,/xnuy6CYEoBmXKhTjKDSbzLe1dB5.jpg,"[53, 18, 12, 28, 36]",205775,en,In the Heart of the Sea,"In the winter of 1820, the New England whaling ship Essex is assaulted by something no one could believe—a whale of mammoth size and will, and an almost human sense of vengeance.",36.597,/weVvNPfk6FM9vBg3BXtRtNAmiYM.jpg,2015-12-03,In the Heart of the Sea,False,6.754,3951
False,/b5IB4VGjR818tTNcCLHQCIFwQmW.jpg,"[28, 53]",10431,en,War,"FBI agent Jack Crawford is out for revenge when his partner is killed and all clues point to the mysterious assassin Rogue. But when Rogue turns up years later to take care of some unfinished business, he triggers a violent clash of rival gangs. Will the truth come out before it's too late? And when the dust settles, who will remain standing?",32.094,/scFc8RD4sFxB2x0eIOaymphMnYh.jpg,2007-08-24,War,False,6.291,1655
False,/7arej0TuOcjLzQzNBsTQ4lj0v8J.jpg,"[35, 10749]",9494,en,Look Who's Talking,"Mollie is a single working mother who's out to find the perfect father for her child. Her baby, Mikey, prefers James, a cab driver turned babysitter who has what it takes to make them both happy. But Mollie won't even consider James. It's going to take all the tricks a baby can think of to bring them together before it's too late.",18.591,/k60x5YEOox9P9vWITSHFSkLGecN.jpg,1989-10-12,Look Who's Talking,False,6.27,2202
False,/fyzSiE8IWezmd3ls1amHNeOkrEf.jpg,"[80, 18]",475,en,Bonnie and Clyde,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",25.342,/sCSQFK9kMsprT4jgWqgw82dT6WI.jpg,1967-08-14,Bonnie and Clyde,False,7.492,1519
False,/iTPTdfEGYGwbELLLvNnmgKZpVZj.jpg,"[18, 10749, 35]",660120,no,Verdens verste menneske,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is.",23.611,/1NxGNQchGBTHXJ6RShLY1IlZqWn.jpg,2021-10-13,The Worst Person in the World,False,7.527,1187
False,/hNGZd7SvXWVnAWgDCBxRsIJz0c4.jpg,[35],1160195,es,Welcome al Norte,"Polito is the manager of a courier and parcel branch in Yucatán, who seeks to fulfill his dream of receiving a promotion and having a place in Cancun to move in with his wife Teo and son. Pressured by his wife, he will be willing to do anything to get it and he plans a strategy where he will achieve his transfer but a little further north: Tijuana.",21.231,/9sA8HGHvbm9CqIJZfFmFZxgsOH6.jpg,2023-09-14,Welcome al Norte,False,8.419,68
False,/f3ugXLa0w4x3cVVNodBPB6HDmSk.jpg,"[28, 12, 53]",10538,en,Passenger 57,"An infamous terrorist has evaded capture for a long time by being extremely clever and ruthless. Things get interesting when he hijacks a plane carrying famous security expert John Cutter, who isn't about to stand for this sort of thing.",28.34,/4VBN8pQxGHjeZWcNv1V1xSw0OKC.jpg,1992-11-06,Passenger 57,False,5.96,939
False,/b6qUGh2l5Kp9hzVJKodcROl7XgI.jpg,"[35, 18]",1030336,es,Fracasados,"Samuel Ordoñez Ybarra, author of the self-help book ""SOY"", ruined the lives of more than a million people with his philosophy ""make the impossible possible"". “Losers” is the story of four of them.",40.502,/jUbmcLvE4dK6bX0KiC44YZrFien.jpg,2022-10-14,Losers,False,8.0,2
False,/jqz8FwISQfyum47PUqgPTGtmiMk.jpg,[18],627725,en,The Banker,"In the 1960s, two entrepreneurs hatch an ingenious business plan to fight for housing integration—and equal access to the American Dream.",31.351,/biXzsw22U6vSd0XktmZwAOc4uik.jpg,2020-03-06,The Banker,False,7.6,848
False,/b5BLqJ6pqMtziBQFd89StwvE7D8.jpg,[18],458737,en,First Reformed,A pastor of a small church in upstate New York starts to spiral out of control after a soul-shaking encounter with an unstable environmental activist and his pregnant wife.,23.346,/p2UylV0hPefEuWPFMo1r56vu2nb.jpg,2018-05-18,First Reformed,False,6.998,1263
False,/nvrQW1NmhkQ7B4FjNik7uqMOldP.jpg,"[35, 18, 10749]",10860,en,Steel Magnolias,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship and welcome her into the fold.",24.338,/7ExUSN9s9gX9bhVM17zDLEizano.jpg,1989-11-15,Steel Magnolias,False,7.196,620
False,/4lNbhZcnrjG079TUkG1mIi2wen0.jpg,"[12, 35, 10751]",11008,en,Major Payne,"Major Benson Winifred Payne is being discharged from the Marines. Payne is a killin' machine, but the wars of the world are no longer fought on the battlefield. A career Marine, he has no idea what to do as a civilian, so his commander finds him a job - commanding officer of a local school's JROTC program, a bunch of ragtag losers with no hope.",22.836,/kWHx5eq7PELkF3If7LrrhuBskRG.jpg,1995-03-24,Major Payne,False,6.36,738
False,/w7N0Xkwhcz3oGHfSG3X5kPCSQjg.jpg,"[28, 80, 53]",9754,en,Firewall,"State-of-the-art security system creator Jack Stanfield has cemented his reputation as a man who's thought of everything. But when a criminal finds a way into his personal life, everything Jack holds dear is suddenly at stake.",18.836,/v4HHAWJthAGxnvefLGSyeSInZZx.jpg,2006-02-08,Firewall,False,5.8,892
False,/bMRofddQE58ToKM7GtdJy6MuKoY.jpg,[18],862968,en,Pain Hustlers,"After losing her job, a single mom falls into a lucrative but ultimately dangerous scheme selling prescription drugs.",23.208,/m0gM9jE1KmCkXZRqkeNYEQZdVsZ.jpg,2023-10-20,Pain Hustlers,False,6.653,464
False,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,"[12, 28, 878]",299536,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",208.028,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,2018-04-25,Avengers: Infinity War,False,8.2,28658
False,/fUIxQAuLErDzed4hB6nQsPiVT4D.jpg,"[878, 53, 18, 9648]",1136512,en,Jonah,"After an alleged alien abduction of Margot's son Jonah, Ozzie and Darren, journalists investigating supernatural cases, are determined to expose the truth. During their investigation, Ozzie grapples with his own haunting memories, leading to intense skepticism about Margot's story.",223.652,/nhaJGTfYNaof7uxSsUEyeH01NKB.jpg,2024-03-12,Jonah,False,0.0,0
False,/rmV6gnPC9LqNWOKzwd8jQe8Ljcw.jpg,[27],1196646,en,Camp Pleasant Lake,"A couple breathes life into a new camp on an old campsite, connecting them to a chilling past that unravels a 20-year-old mystery involving a missing young girl. As eerie events unfold, they must confront forces tied to a brutal crime.",169.224,/vO4ok0SkjbTfLCICxx0uMzOBoEJ.jpg,2024-02-27,Camp Pleasant Lake,False,5.05,10
False,/acvE3RWjDLgvbL2RtcyzkrsAyNV.jpg,"[80, 36, 18]",466420,en,Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",186.926,/dB6Krk806zeqd0YNp2ngQ9zXteH.jpg,2023-10-18,Killers of the Flower Moon,False,7.501,2672
False,/5mzr6JZbrqnqD8rCEvPhuCE5Fw2.jpg,"[28, 878, 27]",615656,en,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,200.115,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,2023-08-02,Meg 2: The Trench,False,6.602,3024
False,/pulJ1iY7GVeppMRipiR7ZGDW7EW.jpg,[18],615,en,The Passion of the Christ,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,308.455,/v9f9MMrq2nGQrN7cHnQRmEq9lSE.jpg,2004-02-25,The Passion of the Christ,False,7.477,4177
False,,[27],46467,en,Zombie Women of Satan,"When a group of nightclub performers – including Pervo the clown, Zeus, a flatulent dwarf, and Skye, a feisty rock chick – arrive on a remote farm for a cable TV interview, they soon discover the dark secret of the sinister family who live there – they have been kidnapping and torturing gorgeous young women as part of a perverted cult. However, the family’s experiments have now gone wrong, and the stocking-clad women have now become ravenous ZOMBIES! Now trapped, our ragtag group of visitors must unite in a desperate bid to stay alive… Sexy, gory and gut-munchingly hilarious – ZOMBIE WOMEN OF SATAN is THE most outrageous zombie comedy movie of the year!",189.392,/riuzfAbNBy1YT5V7SvKLJjoeFF1.jpg,2009-08-31,Zombie Women of Satan,False,4.0,14
