adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/ufUdEHvs31M8yw3HMFjhTaVJIVp.jpg,[18],1374,en,Rocky IV,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Ivan Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.",66.35,/v33qcJ5NTYIcoII9CB0A8rSU8VA.jpg,1985-11-21,Rocky IV,False,7.1,4185
False,/wyvUmyzqGOBDyqLHRSukGDjI7bH.jpg,[18],50014,en,The Help,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",66.325,/7XLSwxpfpPoJyTdJVot6a42TS2V.jpg,2011-08-09,The Help,False,8.202,7810
False,/22iDWgWhw3JxtAF7GGO5uVD00Ci.jpg,"[27, 53]",1118033,en,The Seeding,"When a hiker gets lost in the desert, a gang of feral children propelled by haunting legacies traps him in a sadistic battle for survival with a frightening endgame.",92.81,/5Tj2YIh8ZbwUonPtXZU1y18cbVY.jpg,2024-01-26,The Seeding,False,5.1,10
False,/466zklOlxKDXID4ejaIXu3PN5nV.jpg,"[18, 53, 28]",1372,en,Blood Diamond,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",66.245,/tnLxPpajkbVdbQl5B9CuD7sSpz9.jpg,2006-12-08,Blood Diamond,False,7.541,7270
False,/3pMU7OGlcksMb7YkMthj5A1Y08B.jpg,"[80, 28, 18]",535292,en,21 Bridges,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",66.22,/kDlmrGZROewneCoSwPjKx6Qfown.jpg,2019-10-24,21 Bridges,False,6.8,1845
False,/3IkChGhTllTULVWht55UDFHTg6Q.jpg,"[18, 9648, 16, 878, 53]",4977,ja,パプリカ,"When a machine that allows therapists to enter their patient's dreams is stolen, all hell breaks loose. Only a young female therapist can stop it and recover it before damage is done: Paprika.",66.18,/bLUUr474Go1DfeN1HLjE3rnZXBq.jpg,2006-10-21,Paprika,False,7.803,2236
False,/pRSTtNlcADoQkfeBGtFQNE1FDpb.jpg,"[28, 53, 878]",5548,en,RoboCop,"In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters.",66.17,/hHtOgGb3NihlyRATHlKPaFApbrd.jpg,1987-07-17,RoboCop,False,7.312,4802
False,/k0VC5O8PrrJRqqDDbHDiDo8qAE0.jpg,"[16, 28, 14, 12]",1034062,en,Mortal Kombat Legends: Cage Match,"In 1980s Hollywood, action star Johnny Cage is looking to become an A-list actor. But when his costar, Jennifer, goes missing from set, Johnny finds himself thrust into a world filled with shadows, danger, and deceit. As he embarks on a bloody journey, Johnny quickly discovers the City of Angels has more than a few devils in its midst.",66.164,/1eKWqTHp4OgKdx1QX1O9LxKHr1M.jpg,2023-10-17,Mortal Kombat Legends: Cage Match,False,6.759,85
False,/gEFe2joIQUopBmMPXOHPxuX2f4u.jpg,"[12, 14, 28, 53, 878]",18,en,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",66.153,/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,1997-05-02,The Fifth Element,False,7.544,10306
False,/y0LhmaMYpFkIfrUlOpJYTVMH2eA.jpg,[18],592695,sv,Pleasure,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",66.136,/TcOsu6iO5prSJbDn9oIQgIW655.jpg,2021-10-08,Pleasure,False,6.3,464
False,/q7M0JpPixbEYT8EhnI7wTEMONxz.jpg,"[878, 28, 12]",13475,en,Star Trek,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",66.118,/lV5OpzAss1z06YNagOVap1I35mH.jpg,2009-05-06,Star Trek,False,7.433,9555
False,/xcDiiWTFJ6T3D3qayL1DdlDeQz8.jpg,"[80, 18, 9648]",4771,en,Gone Baby Gone,"When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case, the girl's aunt, Beatrice McCready hires two private detectives, Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case, but the family wants them for two reasons—they're not cops and they know the tough neighborhood in which they all live.",66.087,/rm3Dl8DWYGO3UQ3w2kju62L9rkn.jpg,2007-09-18,Gone Baby Gone,False,7.304,3566
False,/4jgKGtOARAITsKbuNgPgZ9SSds7.jpg,"[16, 35, 10751, 878]",9928,en,Robots,"Rodney Copperbottom is a young robot inventor who dreams of making the world a better place, until the evil Ratchet takes over Big Weld Industries. Now, Rodney's dreams – and those of his friends – are in danger of becoming obsolete.",66.057,/fnKCh67l2DDG9NxxIlk9IpsXQ99.jpg,2005-03-10,Robots,False,6.4,4351
